winner,top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square
everyone,x,x,x,o,o,o,o,x,x
everyone,x,x,x,o,o,o,o,x,o
everyone,x,x,x,o,o,o,o,x,b
everyone,x,x,x,o,o,o,o,o,x
everyone,x,x,x,o,o,o,o,o,o
everyone,x,x,x,o,o,o,o,o,b
everyone,x,x,x,o,o,o,o,b,x
everyone,x,x,x,o,o,o,o,b,o
everyone,x,x,x,o,o,o,o,b,b
everyone,x,x,x,o,o,o,b,x,x
everyone,x,x,x,o,o,o,b,x,o
everyone,x,x,x,o,o,o,b,x,b
everyone,x,x,x,o,o,o,b,o,x
everyone,x,x,x,o,o,o,b,o,o
everyone,x,x,x,o,o,o,b,o,b
everyone,x,x,x,o,o,o,b,b,x
everyone,x,x,x,o,o,o,b,b,o
everyone,x,x,x,o,o,o,b,b,b
x,x,x,x,o,o,b,x,x,x
x,x,x,x,o,o,b,x,x,o
x,x,x,x,o,o,b,x,x,b
x,x,x,x,o,o,b,x,o,x
x,x,x,x,o,o,b,x,o,o
x,x,x,x,o,o,b,x,o,b
x,x,x,x,o,o,b,x,b,x
x,x,x,x,o,o,b,x,b,o
x,x,x,x,o,o,b,x,b,b
x,x,x,x,o,o,b,o,x,x
x,x,x,x,o,o,b,o,x,o
x,x,x,x,o,o,b,o,x,b
x,x,x,x,o,o,b,o,o,x
everyone,x,x,x,o,o,b,o,o,o
x,x,x,x,o,o,b,o,o,b
x,x,x,x,o,o,b,o,b,x
x,x,x,x,o,o,b,o,b,o
x,x,x,x,o,o,b,o,b,b
x,x,x,x,o,o,b,b,x,x
x,x,x,x,o,o,b,b,x,o
x,x,x,x,o,o,b,b,x,b
x,x,x,x,o,o,b,b,o,x
x,x,x,x,o,o,b,b,o,o
x,x,x,x,o,o,b,b,o,b
x,x,x,x,o,o,b,b,b,x
x,x,x,x,o,o,b,b,b,o
x,x,x,x,o,o,b,b,b,b
x,x,x,x,o,b,x,x,x,x
x,x,x,x,o,b,x,x,x,o
x,x,x,x,o,b,x,x,x,b
x,x,x,x,o,b,x,x,o,x
x,x,x,x,o,b,x,x,o,o
x,x,x,x,o,b,x,x,o,b
x,x,x,x,o,b,x,x,b,x
x,x,x,x,o,b,x,x,b,o
x,x,x,x,o,b,x,x,b,b
x,x,x,x,o,b,x,o,x,x
x,x,x,x,o,b,x,o,x,o
x,x,x,x,o,b,x,o,x,b
x,x,x,x,o,b,x,o,o,x
everyone,x,x,x,o,b,x,o,o,o
x,x,x,x,o,b,x,o,o,b
x,x,x,x,o,b,x,o,b,x
x,x,x,x,o,b,x,o,b,o
x,x,x,x,o,b,x,o,b,b
x,x,x,x,o,b,x,b,x,x
x,x,x,x,o,b,x,b,x,o
x,x,x,x,o,b,x,b,x,b
x,x,x,x,o,b,x,b,o,x
x,x,x,x,o,b,x,b,o,o
x,x,x,x,o,b,x,b,o,b
x,x,x,x,o,b,x,b,b,x
x,x,x,x,o,b,x,b,b,o
x,x,x,x,o,b,x,b,b,b
x,x,x,x,o,b,o,x,x,x
x,x,x,x,o,b,o,x,x,o
x,x,x,x,o,b,o,x,x,b
x,x,x,x,o,b,o,x,o,x
x,x,x,x,o,b,o,x,o,o
x,x,x,x,o,b,o,x,o,b
x,x,x,x,o,b,o,x,b,x
x,x,x,x,o,b,o,x,b,o
x,x,x,x,o,b,o,x,b,b
x,x,x,x,o,b,o,o,x,x
x,x,x,x,o,b,o,o,x,o
x,x,x,x,o,b,o,o,x,b
x,x,x,x,o,b,o,o,o,x
everyone,x,x,x,o,b,o,o,o,o
x,x,x,x,o,b,o,o,o,b
x,x,x,x,o,b,o,o,b,x
x,x,x,x,o,b,o,o,b,o
x,x,x,x,o,b,o,o,b,b
x,x,x,x,o,b,o,b,x,x
x,x,x,x,o,b,o,b,x,o
x,x,x,x,o,b,o,b,x,b
x,x,x,x,o,b,o,b,o,x
x,x,x,x,o,b,o,b,o,o
x,x,x,x,o,b,o,b,o,b
x,x,x,x,o,b,o,b,b,x
x,x,x,x,o,b,o,b,b,o
x,x,x,x,o,b,o,b,b,b
x,x,x,x,o,b,b,x,x,x
x,x,x,x,o,b,b,x,x,o
x,x,x,x,o,b,b,x,x,b
x,x,x,x,o,b,b,x,o,x
x,x,x,x,o,b,b,x,o,o
x,x,x,x,o,b,b,x,o,b
x,x,x,x,o,b,b,x,b,x
x,x,x,x,o,b,b,x,b,o
x,x,x,x,o,b,b,x,b,b
x,x,x,x,o,b,b,o,x,x
x,x,x,x,o,b,b,o,x,o
x,x,x,x,o,b,b,o,x,b
x,x,x,x,o,b,b,o,o,x
everyone,x,x,x,o,b,b,o,o,o
x,x,x,x,o,b,b,o,o,b
x,x,x,x,o,b,b,o,b,x
x,x,x,x,o,b,b,o,b,o
x,x,x,x,o,b,b,o,b,b
x,x,x,x,o,b,b,b,x,x
x,x,x,x,o,b,b,b,x,o
x,x,x,x,o,b,b,b,x,b
x,x,x,x,o,b,b,b,o,x
x,x,x,x,o,b,b,b,o,o
x,x,x,x,o,b,b,b,o,b
x,x,x,x,o,b,b,b,b,x
x,x,x,x,o,b,b,b,b,o
x,x,x,x,o,b,b,b,b,b
x,x,x,x,b,x,x,x,x,x
x,x,x,x,b,x,x,x,x,o
x,x,x,x,b,x,x,x,x,b
x,x,x,x,b,x,x,x,o,x
x,x,x,x,b,x,x,x,o,o
x,x,x,x,b,x,x,x,o,b
x,x,x,x,b,x,x,x,b,x
x,x,x,x,b,x,x,x,b,o
x,x,x,x,b,x,x,x,b,b
x,x,x,x,b,x,x,o,x,x
x,x,x,x,b,x,x,o,x,o
x,x,x,x,b,x,x,o,x,b
x,x,x,x,b,x,x,o,o,x
everyone,x,x,x,b,x,x,o,o,o
x,x,x,x,b,x,x,o,o,b
x,x,x,x,b,x,x,o,b,x
x,x,x,x,b,x,x,o,b,o
x,x,x,x,b,x,x,o,b,b
x,x,x,x,b,x,x,b,x,x
x,x,x,x,b,x,x,b,x,o
x,x,x,x,b,x,x,b,x,b
x,x,x,x,b,x,x,b,o,x
x,x,x,x,b,x,x,b,o,o
x,x,x,x,b,x,x,b,o,b
x,x,x,x,b,x,x,b,b,x
x,x,x,x,b,x,x,b,b,o
x,x,x,x,b,x,x,b,b,b
x,x,x,x,b,x,o,x,x,x
x,x,x,x,b,x,o,x,x,o
x,x,x,x,b,x,o,x,x,b
x,x,x,x,b,x,o,x,o,x
x,x,x,x,b,x,o,x,o,o
x,x,x,x,b,x,o,x,o,b
x,x,x,x,b,x,o,x,b,x
x,x,x,x,b,x,o,x,b,o
x,x,x,x,b,x,o,x,b,b
x,x,x,x,b,x,o,o,x,x
x,x,x,x,b,x,o,o,x,o
x,x,x,x,b,x,o,o,x,b
x,x,x,x,b,x,o,o,o,x
everyone,x,x,x,b,x,o,o,o,o
x,x,x,x,b,x,o,o,o,b
x,x,x,x,b,x,o,o,b,x
x,x,x,x,b,x,o,o,b,o
x,x,x,x,b,x,o,o,b,b
x,x,x,x,b,x,o,b,x,x
x,x,x,x,b,x,o,b,x,o
x,x,x,x,b,x,o,b,x,b
x,x,x,x,b,x,o,b,o,x
x,x,x,x,b,x,o,b,o,o
x,x,x,x,b,x,o,b,o,b
x,x,x,x,b,x,o,b,b,x
x,x,x,x,b,x,o,b,b,o
x,x,x,x,b,x,o,b,b,b
x,x,x,x,b,x,b,x,x,x
x,x,x,x,b,x,b,x,x,o
x,x,x,x,b,x,b,x,x,b
x,x,x,x,b,x,b,x,o,x
x,x,x,x,b,x,b,x,o,o
x,x,x,x,b,x,b,x,o,b
x,x,x,x,b,x,b,x,b,x
x,x,x,x,b,x,b,x,b,o
x,x,x,x,b,x,b,x,b,b
x,x,x,x,b,x,b,o,x,x
x,x,x,x,b,x,b,o,x,o
x,x,x,x,b,x,b,o,x,b
x,x,x,x,b,x,b,o,o,x
everyone,x,x,x,b,x,b,o,o,o
x,x,x,x,b,x,b,o,o,b
x,x,x,x,b,x,b,o,b,x
x,x,x,x,b,x,b,o,b,o
x,x,x,x,b,x,b,o,b,b
x,x,x,x,b,x,b,b,x,x
x,x,x,x,b,x,b,b,x,o
x,x,x,x,b,x,b,b,x,b
x,x,x,x,b,x,b,b,o,x
x,x,x,x,b,x,b,b,o,o
x,x,x,x,b,x,b,b,o,b
x,x,x,x,b,x,b,b,b,x
x,x,x,x,b,x,b,b,b,o
x,x,x,x,b,x,b,b,b,b
x,x,x,x,b,o,x,x,x,x
x,x,x,x,b,o,x,x,x,o
x,x,x,x,b,o,x,x,x,b
x,x,x,x,b,o,x,x,o,x
x,x,x,x,b,o,x,x,o,o
x,x,x,x,b,o,x,x,o,b
x,x,x,x,b,o,x,x,b,x
x,x,x,x,b,o,x,x,b,o
x,x,x,x,b,o,x,x,b,b
x,x,x,x,b,o,x,o,x,x
x,x,x,x,b,o,x,o,x,o
x,x,x,x,b,o,x,o,x,b
x,x,x,x,b,o,x,o,o,x
everyone,x,x,x,b,o,x,o,o,o
x,x,x,x,b,o,x,o,o,b
x,x,x,x,b,o,x,o,b,x
x,x,x,x,b,o,x,o,b,o
x,x,x,x,b,o,x,o,b,b
x,x,x,x,b,o,x,b,x,x
x,x,x,x,b,o,x,b,x,o
x,x,x,x,b,o,x,b,x,b
x,x,x,x,b,o,x,b,o,x
x,x,x,x,b,o,x,b,o,o
x,x,x,x,b,o,x,b,o,b
x,x,x,x,b,o,x,b,b,x
x,x,x,x,b,o,x,b,b,o
x,x,x,x,b,o,x,b,b,b
x,x,x,x,b,o,o,x,x,x
x,x,x,x,b,o,o,x,x,o
x,x,x,x,b,o,o,x,x,b
x,x,x,x,b,o,o,x,o,x
x,x,x,x,b,o,o,x,o,o
x,x,x,x,b,o,o,x,o,b
x,x,x,x,b,o,o,x,b,x
x,x,x,x,b,o,o,x,b,o
x,x,x,x,b,o,o,x,b,b
x,x,x,x,b,o,o,o,x,x
x,x,x,x,b,o,o,o,x,o
x,x,x,x,b,o,o,o,x,b
x,x,x,x,b,o,o,o,o,x
everyone,x,x,x,b,o,o,o,o,o
x,x,x,x,b,o,o,o,o,b
x,x,x,x,b,o,o,o,b,x
x,x,x,x,b,o,o,o,b,o
x,x,x,x,b,o,o,o,b,b
x,x,x,x,b,o,o,b,x,x
x,x,x,x,b,o,o,b,x,o
x,x,x,x,b,o,o,b,x,b
x,x,x,x,b,o,o,b,o,x
x,x,x,x,b,o,o,b,o,o
x,x,x,x,b,o,o,b,o,b
x,x,x,x,b,o,o,b,b,x
x,x,x,x,b,o,o,b,b,o
x,x,x,x,b,o,o,b,b,b
x,x,x,x,b,o,b,x,x,x
x,x,x,x,b,o,b,x,x,o
x,x,x,x,b,o,b,x,x,b
x,x,x,x,b,o,b,x,o,x
x,x,x,x,b,o,b,x,o,o
x,x,x,x,b,o,b,x,o,b
x,x,x,x,b,o,b,x,b,x
x,x,x,x,b,o,b,x,b,o
x,x,x,x,b,o,b,x,b,b
x,x,x,x,b,o,b,o,x,x
x,x,x,x,b,o,b,o,x,o
x,x,x,x,b,o,b,o,x,b
x,x,x,x,b,o,b,o,o,x
everyone,x,x,x,b,o,b,o,o,o
x,x,x,x,b,o,b,o,o,b
x,x,x,x,b,o,b,o,b,x
x,x,x,x,b,o,b,o,b,o
x,x,x,x,b,o,b,o,b,b
x,x,x,x,b,o,b,b,x,x
x,x,x,x,b,o,b,b,x,o
x,x,x,x,b,o,b,b,x,b
x,x,x,x,b,o,b,b,o,x
x,x,x,x,b,o,b,b,o,o
x,x,x,x,b,o,b,b,o,b
x,x,x,x,b,o,b,b,b,x
x,x,x,x,b,o,b,b,b,o
x,x,x,x,b,o,b,b,b,b
x,x,x,x,b,b,x,x,x,x
x,x,x,x,b,b,x,x,x,o
x,x,x,x,b,b,x,x,x,b
x,x,x,x,b,b,x,x,o,x
x,x,x,x,b,b,x,x,o,o
x,x,x,x,b,b,x,x,o,b
x,x,x,x,b,b,x,x,b,x
x,x,x,x,b,b,x,x,b,o
x,x,x,x,b,b,x,x,b,b
x,x,x,x,b,b,x,o,x,x
x,x,x,x,b,b,x,o,x,o
x,x,x,x,b,b,x,o,x,b
x,x,x,x,b,b,x,o,o,x
everyone,x,x,x,b,b,x,o,o,o
x,x,x,x,b,b,x,o,o,b
x,x,x,x,b,b,x,o,b,x
x,x,x,x,b,b,x,o,b,o
x,x,x,x,b,b,x,o,b,b
x,x,x,x,b,b,x,b,x,x
x,x,x,x,b,b,x,b,x,o
x,x,x,x,b,b,x,b,x,b
x,x,x,x,b,b,x,b,o,x
x,x,x,x,b,b,x,b,o,o
x,x,x,x,b,b,x,b,o,b
x,x,x,x,b,b,x,b,b,x
x,x,x,x,b,b,x,b,b,o
x,x,x,x,b,b,x,b,b,b
x,x,x,x,b,b,o,x,x,x
x,x,x,x,b,b,o,x,x,o
x,x,x,x,b,b,o,x,x,b
x,x,x,x,b,b,o,x,o,x
x,x,x,x,b,b,o,x,o,o
x,x,x,x,b,b,o,x,o,b
x,x,x,x,b,b,o,x,b,x
x,x,x,x,b,b,o,x,b,o
x,x,x,x,b,b,o,x,b,b
x,x,x,x,b,b,o,o,x,x
x,x,x,x,b,b,o,o,x,o
x,x,x,x,b,b,o,o,x,b
x,x,x,x,b,b,o,o,o,x
